Food,Serving,Serving
American Cheese,100g,148 cal
Applewood,100g,410 cal
Bergkäse,100g,418 cal
Butter Cheese,100g,388 cal
Cheddar,100g,403 cal
Cheese Platter,100g,357 cal
Cheese Slices,100g,356 cal
Colby Cheese,100g,394 cal
Colby-Jack Cheese,100g,394 cal
Cold Pack Cheese,100g,246 cal
Edam,100g,357 cal
Edam Cheese,100g,357 cal
Emmental,100g,357 cal
Emmentaler,100g,357 cal
Esrom (Cheese),100g,322 cal
Fol Epi,100g,388 cal
Fresh Mozzarella,100g,280 cal
Gouda,100g,356 cal
Gouda Cheese,100g,356 cal
Havarti,100g,371 cal
Lacy Swiss Cheese,100g,321 cal
Leerdammer,100g,284 cal
Leerdammer Cheese,100g,284 cal
Maasdam Cheese,100g,344 cal
Monterey Jack Cheese,100g,373 cal
Mozzarella,100g,280 cal
Muenster Cheese,100g,368 cal
Pepper Cheese,100g,100 cal
Sandwich Cheese,100g,148 cal
Smoked Cheese,100g,410 cal
Tilsit,100g,340 cal
White American,100g,148 cal
White Cheddar,100g,403 cal
Young Gouda,100g,356 cal
