Food,Serving,Serving
Activia,100g,74 cal
Activia Lemon,100g,100 cal
Activia Strawberry,100g,97 cal
Aloe Vera Yogurt,100g,85 cal
Ayran,100ml,42 cal
Bircher Muesli Yogurt,100g,109 cal
Blueberry Yogurt,100g,105 cal
Cherry Yogurt,100g,97 cal
Chocolate Yogurt,100g,128 cal
Cream Yogurt,100g,124 cal
Creamy Yogurt,100g,90 cal
Diet Yogurt,100g,54 cal
Fruit Yogurt,100g,97 cal
Greek Yogurt,100g,53 cal
Low-Fat Yogurt,100g,63 cal
Mocca Yogurt,100g,100 cal
Organic Yogurt,100g,75 cal
Peach Yogurt,100g,97 cal
Plain Yogurt,100g,61 cal
Probiotic Yogurt,100g,80 cal
Skim Milk Yogurt,100g,56 cal
Stracciatella Yogurt,100g,139 cal
Strawberry Yogurt,100g,100 cal
Vanilla Yogurt,100g,101 cal
Yogurt,100g,61 cal
Yogurt Corner,100g,119 cal
Yoplait Boston Cream Pie,100g,90 cal
Yoplait French Vanilla,100g,100 cal
Yoplait Greek Blueberry,100g,100 cal
Yoplait Greek Coconut,100g,100 cal
Yoplait Greek Strawberry,100g,100 cal
Yoplait Greek Vanilla,100g,100 cal
Yoplait Harvest Peach,100g,100 cal
Yoplait Key Lime Pie,100g,100 cal
Yoplait Mango,100g,100 cal
Yoplait Mixed Berry,100g,100 cal
Yoplait Pina Colada,100g,100 cal
Yoplait Strawberry,100g,100 cal
Yoplait Strawberry Banana,100g,100 cal
Yoplait Strawberry Cheesecake,100g,100 cal
