Food,Serving,Serving
Beef,100g,171 cal
Beef Brisket,100g,137 cal
Beef Fillet,100g,189 cal
Beef Goulash,100g,123 cal
Beef Minute Steak,100g,133 cal
Beef Neck,100g,213 cal
Beef Pancreas,100g,271 cal
Beef Patty,100g,247 cal
Beef Prime Rib,100g,404 cal
Beef Ribs,100g,196 cal
Beef Sirloin,100g,182 cal
Beef Suet,100g,854 cal
Beef Tallow,100g,902 cal
Beef Thymus,100g,319 cal
Beef Tripe,100g,94 cal
Chuck Roast,100g,141 cal
Chuck Steak,100g,137 cal
Filet Mignon,100g,207 cal
Flank Steak,100g,194 cal
Ground Beef,100g,241 cal
Ground Chuck,100g,250 cal
Ground Round,100g,212 cal
Minced Veal,100g,143 cal
Porterhouse Steak,100g,247 cal
Rib Eye Steak,100g,217 cal
Roast Beef,100g,187 cal
Rump Steak,100g,171 cal
Skirt Steak,100g,205 cal
Stew Beef,100g,191 cal
Strip Steak,100g,117 cal
T-Bone-Steak,100g,221 cal
Veal,100g,282 cal
Veal Breast,100g,282 cal
Veal Leg,100g,211 cal
Veal Roast Beef,100g,175 cal
Veal Shank,100g,177 cal
Veal Shoulder,100g,183 cal
Veal Sirloin,100g,204 cal
Veal Tenderloin,100g,217 cal
