Food,Serving,Serving
Beef Brain,100g,196 cal
Beef Heart,100g,165 cal
Beef Kidney,100g,158 cal
Beef Liver,100g,191 cal
Beef Lung,100g,120 cal
Beef Melt,100g,271 cal
Beef Tongue,100g,284 cal
Calf Brain,100g,136 cal
Calf Liver,100g,192 cal
Calf Lung,100g,104 cal
Calf Melt,100g,256 cal
Chicken Giblets,100g,277 cal
Chicken Heart,100g,185 cal
Chicken Liver,100g,172 cal
Chicken Stomach,100g,148 cal
Chitterlings,100g,233 cal
Duck Liver,100g,136 cal
Goose Liver,100g,133 cal
Hog Maws,100g,157 cal
Pig Brain,100g,138 cal
Pig Heart,100g,148 cal
Pig Kidney,100g,151 cal
Pig Lung,100g,99 cal
Pork Liver,100g,165 cal
Pork Melt,100g,219 cal
Pork Tongue,100g,271 cal
Turkey Giblets,100g,173 cal
Turkey Heart,100g,174 cal
Turkey Liver,100g,189 cal
Turkey Stomach,100g,148 cal
Veal Heart,100g,186 cal
Veal Kidney,100g,163 cal
Veal Tongue,100g,202 cal
