Food,Serving,Serving
Bacon,100g,407 cal
Brawn,100g,309 cal
Canadian-Style Bacon,100g,107 cal
Chitterlings,100g,233 cal
Ground Pork,100g,263 cal
Hog Maws,100g,250 cal
Lard,100g,898 cal
Meatloaf,100g,89 cal
Parma Ham,100g,261 cal
Pig Ear,100g,166 cal
Pig Fat,100g,638 cal
Pig’s Tail,100g,396 cal
Pig’s Trotter,100g,243 cal
Pork Bacon,100g,407 cal
Pork Belly,100g,518 cal
Pork Blade Steak,100g,232 cal
Pork Chop,100g,123 cal
Pork Country-Style Ribs,100g,133 cal
Pork Crown Roast,100g,212 cal
Pork Cutlet,100g,131 cal
Pork Cutlets,100g,131 cal
Pork Leg,100g,201 cal
Pork Loin,100g,143 cal
Pork Meatloaf,100g,243 cal
Pork Ragout,100g,73 cal
Pork Rib Roast,100g,159 cal
Pork Ribs,100g,292 cal
Pork Roast,100g,194 cal
Pork Sausage,100g,339 cal
Pork Shank,100g,172 cal
Pork Shoulder,100g,269 cal
Pork Shoulder Blade,100g,232 cal
Pork Stomach,100g,250 cal
Rack of Pork,100g,241 cal
Salt Meat,100g,286 cal
Salt Pork,100g,286 cal
Serrano Ham,100g,339 cal
Spare Ribs,100g,396 cal
Spareribs,100g,238 cal
