Food,Serving,Serving
Capon,100g,229 cal
Chicken,100g,219 cal
Chicken Breast,100g,172 cal
Chicken Drumsticks,100g,185 cal
Chicken Gizzards,100g,154 cal
Chicken Legs,100g,174 cal
Chicken Thighs,100g,229 cal
Chicken Wings,100g,266 cal
Cornish Hens,100g,259 cal
Dove,100g,213 cal
Duck,100g,337 cal
Duck Breast,100g,201 cal
Emu,100g,152 cal
Goose,100g,305 cal
Guinea-Fowl,100g,158 cal
Ostrich,100g,145 cal
Ostrich Meat,100g,145 cal
Pheasant,100g,239 cal
Pheasant Breast,100g,133 cal
Pheasant Leg,100g,239 cal
Pigeon,100g,142 cal
Poularde,100g,200 cal
Quail,100g,227 cal
Quail Breast,100g,123 cal
Rhea,100g,160 cal
Turkey,100g,189 cal
Turkey Breast,100g,135 cal
Turkey Cutlet,100g,189 cal
Turkey Drumsticks,100g,208 cal
Turkey Legs,100g,208 cal
Turkey Steak,100g,189 cal
Turkey Wings,100g,221 cal
Wild Duck,100g,211 cal
