Food,Serving,Serving
Acai,100g,70 cal
Apple,100g,52 cal
Applesauce,100g,68 cal
Apricot,100g,48 cal
Avocado,100g,160 cal
Banana,100g,89 cal
Blackberries,100g,43 cal
Blood Oranges,100g,50 cal
Blueberries,100g,57 cal
Cantaloupe,100g,34 cal
Cherries,100g,50 cal
Clementine,100g,47 cal
Cranberries,100g,46 cal
Currants,100g,56 cal
Custard Apple,100g,101 cal
Dates,100g,282 cal
Figs,100g,74 cal
Fruit salad,100g,50 cal
Grapes,100g,69 cal
Greengage,100g,41 cal
Guava,100g,68 cal
Jackfruit,100g,95 cal
Jujube,100g,79 cal
Kiwi,100g,61 cal
Lemon,100g,29 cal
Lime,100g,30 cal
Lychees,100g,66 cal
Mandarin Oranges,100g,53 cal
Mango,100g,60 cal
Minneola,100g,64 cal
Mulberries,100g,43 cal
Nectarine,100g,44 cal
Olives,100g,115 cal
Orange,100g,47 cal
Papaya,100g,43 cal
Passion Fruit,100g,97 cal
Peach,100g,39 cal
Pear,100g,57 cal
Persimmon,100g,127 cal
Physalis,100g,49 cal
Pineapple,100g,50 cal
Plantains,100g,122 cal
Plum,100g,46 cal
Pomegranate,100g,83 cal
Quince,100g,57 cal
Raisins,100g,299 cal
Rambutan,100g,82 cal
Raspberries,100g,52 cal
Rhubarb,100g,21 cal
Starfruit,100g,31 cal
Strawberries,100g,32 cal
Tamarind,100g,239 cal
Tangerine,100g,53 cal
Watermelon,100g,30 cal
