Food,Serving,Serving
Angel Food Cake,100g,258 cal
Apple Cake,100g,252 cal
Apple Cobbler,100g,198 cal
Apple Crisp,100g,156 cal
Apple Crumble,100g,156 cal
Apple Pie,100g,237 cal
Apple Strudel,100g,274 cal
Apple Turnover,100g,348 cal
Applesauce Cake,100g,358 cal
Baked Alaska,100g,247 cal
Bakewell Tart,100g,430 cal
Banoffee Pie,100g,395 cal
Birthday Cake,100g,465 cal
Black and White Cookie,100g,381 cal
Black Forest Cake,100g,264 cal
Blueberry Cobbler,100g,234 cal
Blueberry Muffin,100g,377 cal
Blueberry Pie,100g,232 cal
Bundt Cake,100g,370 cal
Buttermilk Pie,100g,380 cal
Caramel Cake,100g,475 cal
Carrot Cake,100g,408 cal
Cheesecake,100g,321 cal
Cherry Pie,100g,260 cal
Chess Pie,100g,411 cal
Chocolate Cake,100g,389 cal
Chocolate Cream Pie,100g,304 cal
Chocolate Mousse Cake,100g,260 cal
Chocolate Mousse Pie,100g,260 cal
Chocolate Muffin,100g,420 cal
Coconut Cake,100g,356 cal
Coffee Cake,100g,331 cal
Cream Puff,100g,334 cal
Crumb Cake,100g,441 cal
Cupcake,100g,305 cal
Danish Pastry,100g,374 cal
Donut,100g,403 cal
Doughnut,100g,403 cal
Flan,100g,145 cal
Flourless Chocolate Cake,100g,509 cal
French Cruller,100g,412 cal
Fruit Cake,100g,324 cal
Funnel Cake,100g,307 cal
German Chocolate Cake,100g,370 cal
Gingerbread,100g,356 cal
Ice Cream Cake,100g,200 cal
Key Lime Pie,100g,359 cal
King Cake,100g,377 cal
Layer Cake,100g,402 cal
Lemon Cake,100g,352 cal
Lemon Meringue Pie,100g,268 cal
Madeira Cake,100g,394 cal
Marble Cake,100g,339 cal
Meringue,100g,285 cal
Opera Cake,100g,320 cal
Paczki,100g,336 cal
Pancake,100g,227 cal
Panettone,100g,360 cal
Pavlova,100g,294 cal
Peach Cobbler,100g,65 cal
Peach Pie,100g,223 cal
Pecan Pie,100g,407 cal
Pineapple Upside-Down Cake,100g,319 cal
Plum Cake,100g,109 cal
Poppy-Seed Cake,100g,394 cal
Pound Cake,100g,390 cal
Profiterole,100g,334 cal
Puff Pastry,100g,558 cal
Pumpkin Bread,100g,298 cal
Pumpkin Cheesecake,100g,340 cal
Pumpkin Pie,100g,243 cal
Raspberry Pie,100g,240 cal
Red Velvet Cake,100g,367 cal
Rhubarb Pie,100g,245 cal
Rum Cake,100g,351 cal
Sacher Torte,100g,352 cal
Sponge Cake,100g,289 cal
Strawberry Cheesecake,100g,327 cal
Strawberry Pie,100g,230 cal
Strawberry Rhubarb Pie,100g,281 cal
Sweet Potato Pie,100g,260 cal
Swiss Roll,100g,439 cal
Tarte Tatin,100g,210 cal
Tiramisu,100g,283 cal
Tiramisu Cake,100g,291 cal
Treacle Tart,100g,369 cal
Tres Leches Cake,100g,246 cal
Trifle,100g,180 cal
Victoria Sponge Cake,100g,257 cal
Waffles,100g,312 cal
Wedding Cake,100g,381 cal
