Food,Serving,Serving
3 Musketeers,100g,400 cal
After Eight,100g,452 cal
Airheads,100g,375 cal
Almond Roca,100g,571 cal
Angel Delight,100g,451 cal
Animal Crackers,100g,446 cal
Baby Ruth,100g,469 cal
Butterfinger,100g,450 cal
Buttermilk Pancakes,100g,238 cal
Candy Apple,100g,152 cal
Candy Cane,100g,423 cal
Candy canes,100g,423 cal
Candy Corn,100g,360 cal
Candy Floss,100g,400 cal
Caramel Popcorn,100g,376 cal
Caramel squares,100g,367 cal
Celebrations,100g,490 cal
Cheez-It’s,100g,533 cal
Chocolate,100g,529 cal
Chocolate Bar,100g,533 cal
Chocolate Chips,100g,493 cal
Cookies,100g,488 cal
Cotton Candy,100g,643 cal
Eggy Bread,100g,196 cal
Fairy Cakes,100g,440 cal
Ferrero Rocher,100g,576 cal
Flapjack,100g,486 cal
Fortune Cookies,100g,214 cal
Granola Bars,100g,452 cal
Gumdrops,100g,321 cal
Gummi Bears,100g,316 cal
Hanuta,100g,541 cal
Hershey Kisses,100g,471 cal
Jelly Beans,100g,354 cal
Jelly Belly,100g,354 cal
Jolly Ranchers,100g,385 cal
Jordan Almonds,100g,429 cal
Kit Kat,100g,521 cal
Laffy Taffy,100g,372 cal
Licorice,100g,375 cal
LifeSavers,100g,500 cal
Lindt Chocolate,100g,548 cal
Liquorice,100g,375 cal
Lollipop,100g,392 cal
M&M’s,100g,479 cal
Maltesers,100g,498 cal
Mars Bar,100g,448 cal
Marshmallows,100g,318 cal
Marzipan,100g,411 cal
Mike and Ike,100g,360 cal
Milk Duds,100g,422 cal
Milky Way,100g,449 cal
PayDay,100g,462 cal
Peanut Bar,100g,533 cal
Peanut Brittle,100g,183 cal
Peanut Butter Bars,100g,379 cal
Peanut Butter Cookies,100g,475 cal
Peppermint bark,100g,500 cal
Pez,100g,427 cal
Pop Rocks,100g,358 cal
Popcorn,100g,582 cal
Pumpkin Seeds,100g,560 cal
Reeses Peanut Butter Cups,100g,536 cal
Rice Pudding,100g,134 cal
Roasted Almonds,100g,452 cal
Rolo,100g,474 cal
S’mores,100g,500 cal
Semolina,100g,340 cal
Skittles,100g,405 cal
Smarties,100g,357 cal
Smores,100g,500 cal
Snickers,100g,484 cal
Sour Patch Kids,100g,363 cal
Speculoos,100g,469 cal
Spritz Cookies,100g,500 cal
Take 5,100g,476 cal
Toblerone,100g,525 cal
Trifle,100g,186 cal
Twix,100g,495 cal
Waffles,100g,272 cal
Whoopie Pie,100g,400 cal
