Food,Serving,Serving
Baskin-Robbins,100g,239 cal
Ben and Jerry’s,100g,228 cal
Butter Pecan Ice Cream,100g,248 cal
Carvel,100g,212 cal
Chocolate Chip Ice Cream,100g,215 cal
Chocolate Ice Cream,100g,216 cal
Ciao Bella,100g,109 cal
Coffee Ice Cream,100g,236 cal
Cold Stone Creamery,100g,232 cal
Cookie Dough Ice Cream,100g,200 cal
Crunchie McFlurry,100g,174 cal
Dairy Milk McFlurry,100g,186 cal
Dippin Dots,100g,224 cal
Double Rainbow,100g,257 cal
Drumsticks,100g,255 cal
French Vanilla Ice Cream,100g,201 cal
Friendly’s,100g,212 cal
Healthy Choice,100g,125 cal
Hot Fudge Sundae,100g,186 cal
Ice Cream Sandwich,100g,237 cal
Ice Cream Sundae,100g,142 cal
Ice Milk,100g,159 cal
Magnolia,100g,230 cal
Magnum,100g,300 cal
Magnum Almond,100g,315 cal
Magnum Double Caramel,100g,355 cal
Magnum Double Chocolate,100g,380 cal
Magnum Gold,100g,341 cal
Magnum White,100g,297 cal
McFlurry,100g,153 cal
McFlurry Oreo,100g,186 cal
Mini Milk,100g,120 cal
Mint Chocolate Chip Ice Cream,100g,239 cal
Rocky Road Ice Cream,100g,257 cal
Schwan’s,100g,246 cal
Smarties McFlurry,100g,198 cal
Snickers Ice Cream,100g,360 cal
Soft Serve,100g,222 cal
Solero,100g,100 cal
Strawberry Ice Cream,100g,236 cal
Strawberry Sundae,100g,158 cal
Sundae,100g,215 cal
Turkey Hill,100g,271 cal
Vanilla Cone,100g,162 cal
Vanilla Ice Cream,100g,201 cal
