Food,Serving,Serving
Acai Juice,100ml,58 cal
Aloe Vera,100ml,44 cal
Apple Juice,100ml,46 cal
Apricot Nectar,100ml,56 cal
Banana Juice,100ml,50 cal
Blackberry Juice,100ml,48 cal
Boysenberry Juice,100ml,54 cal
Capri-Sun,100ml,41 cal
Carrot Juice,100ml,40 cal
Chamomile Tea,100ml,0 cal
Cherry Juice,100ml,45 cal
Clamato,100ml,60 cal
Coconut Milk,100ml,233 cal
Coconut Water,100ml,19 cal
Concord Grape,100ml,71 cal
Cranberry Apple Juice,100ml,67 cal
Cranberry Grape Juice,100ml,71 cal
Cranberry Juice,100ml,46 cal
Cucumber Juice,100ml,10 cal
Currant Juice,100ml,48 cal
Energy-Drink,100ml,87 cal
Fruitopia,100ml,110 cal
Grape Juice,100ml,60 cal
Grapefruit Juice,100ml,46 cal
Lemon Juice,100ml,21 cal
Lemonade,100ml,50 cal
Lime Juice,100ml,21 cal
Limeade,100ml,128 cal
Mango Lassi,100ml,66 cal
Nestea,100ml,21 cal
Orange Juice,100ml,46 cal
Papaya Juice,100ml,58 cal
Passion Fruit Juice,100ml,48 cal
Peach Juice,100ml,54 cal
Peach Nectar,100ml,54 cal
Pear Juice,100ml,60 cal
Pear Nectar,100ml,60 cal
Pineapple Juice,100ml,53 cal
Pineapple Orange Juice,100ml,50 cal
Plum Juice,100ml,71 cal
Pomegranate Juice,100ml,66 cal
Sauerkraut Juice,100ml,14 cal
Tangerine Juice,100ml,43 cal
Tomato Juice,100ml,17 cal
Vegetable Juice,100ml,21 cal
White Grape Juice,100ml,75 cal
