Food,Serving,Serving
Ale,100ml,35 cal
Altbier,100ml,43 cal
Bass,100ml,45 cal
Beck’s,100ml,39 cal
Beer,100ml,43 cal
Blue Moon,100ml,48 cal
Bock Beer,100ml,50 cal
Buckler (N.A.),100ml,21 cal
Bud Ice,100ml,35 cal
Bud Light,100ml,29 cal
Bud Light Chelada,100ml,43 cal
Bud Light Lime,100ml,34 cal
Bud Select,100ml,28 cal
Bud Select 55,100ml,15 cal
Budweiser,100ml,41 cal
Budweiser Chelada,100ml,52 cal
Busch,100ml,37 cal
Busch Light,100ml,27 cal
Busch N.A.,100ml,17 cal
Carlsberg,100ml,32 cal
Clausthaler (N.A.),100ml,26 cal
Colt 45,100ml,44 cal
Coors,100ml,42 cal
Coors Light,100ml,29 cal
Coors N.A.,100ml,18 cal
Corona,100ml,42 cal
Dark Beer,100ml,46 cal
Genesee Cream Ale,100ml,46 cal
Ginger Beer,100ml,42 cal
Guinness,100ml,35 cal
Heineken,100ml,35 cal
Honey Brown,100ml,42 cal
Hurricane High Gravity,100ml,39 cal
IPA,100ml,51 cal
Keystone Ice,100ml,40 cal
Keystone Light,100ml,29 cal
Koelsch,100ml,43 cal
Labatt,100ml,43 cal
Lager Beer,100ml,43 cal
Land Shark,100ml,42 cal
Light Beer,100ml,29 cal
Lowenbrau,100ml,45 cal
Malt Beer,100ml,37 cal
Michelob Amber Bock,100ml,47 cal
Michelob Lager,100ml,44 cal
Michelob Light,100ml,32 cal
Michelob Ultra,100ml,27 cal
Michelob Ultra Amber,100ml,26 cal
Michelob Ultra Lime Cactus,100ml,27 cal
Miller Chill,100ml,31 cal
Miller Genuine Draft,100ml,40 cal
Miller High Life,100ml,40 cal
Miller High Life Light,100ml,31 cal
Miller Lite,100ml,27 cal
Milwaukee’s Best,100ml,36 cal
Milwaukee’s Best Light,100ml,28 cal
Molson,100ml,42 cal
Natural Ice,100ml,44 cal
Natural Light,100ml,27 cal
Newcastle,100ml,39 cal
Non-alcoholic Beer,100ml,37 cal
O’Doul’s (N.A.),100ml,19 cal
Old Milwaukee,100ml,41 cal
Old Milwaukee N.A.,100ml,16 cal
Olde English,100ml,45 cal
Pabst Blue Ribbon,100ml,41 cal
Pale Ale,100ml,42 cal
Pilsner,100ml,43 cal
Porter,100ml,54 cal
Redbridge (Gluten-free),100ml,45 cal
Rolling Rock,100ml,37 cal
Rolling Rock Light,100ml,30 cal
Root Beer,100ml,41 cal
Samuel Adams,100ml,45 cal
Shock Top,100ml,47 cal
Shock Top Raspberry Wheat,100ml,50 cal
Sierra Nevada Strong,100ml,62 cal
Sparks,100ml,74 cal
St. Pauli Girl,100ml,42 cal
Steel Reserve,100ml,63 cal
Stout,100ml,51 cal
Stout Beer,100ml,51 cal
Strong Beer,100ml,55 cal
Tilt,100ml,64 cal
Wheat Beer,100ml,45 cal
