Food,Serving,Serving
ACE Drink,100ml,44 cal
Apple Spritzer,100ml,24 cal
Chai,100ml,0 cal
Chai Tea,100ml,0 cal
Chocolate Milk,100ml,89 cal
Chocolate Milkshake,100ml,125 cal
Club Mate,100ml,30 cal
Coca Cola,100ml,42 cal
Coffee,100ml,1 cal
Coke Zero,100ml,1 cal
Cola,100ml,42 cal
Crystal Light,100ml,263 cal
Diet Coke,100ml,1 cal
Egg Cream,100ml,94 cal
Egg Nog,100ml,88 cal
Elderflower Cordial,100ml,29 cal
Evian,100ml,0 cal
Gatorade,100ml,23 cal
Ginger Tea,100ml,0 cal
Hawaiian Punch,100ml,31 cal
Hi-C,100ml,49 cal
Horchata,100ml,54 cal
Hot Chocolate,100ml,89 cal
Ice Tea,100ml,27 cal
Iced Tea,100ml,27 cal
Karamalz,100ml,37 cal
Kombucha,100ml,13 cal
Kool-Aid,100ml,26 cal
Lassi,100ml,104 cal
Latte Macchiato,100ml,57 cal
Lemonade,100ml,42 cal
Malt Beer,100ml,37 cal
Milk,100ml,61 cal
Milkshake (dry),100g,329 cal
Milo,100g,409 cal
Nectar,100ml,53 cal
Nestea,100ml,36 cal
Non-alcoholic Beer,100ml,37 cal
Powerade,100ml,16 cal
Slurpee,100ml,4 cal
Slush Puppie,100ml,50 cal
Smoothie,100ml,37 cal
Soy Milk,100ml,45 cal
Strawberry Milkshake,100ml,113 cal
Tang,100g,381 cal
Tap Water,100ml,0 cal
Tea,100ml,1 cal
Vanilla Milkshake,100ml,149 cal
Volvic,100ml,0 cal
Water,100ml,0 cal
Yerba Mate,100ml,62 cal
