Food,Serving,Serving
7up,100ml,44 cal
Barq’s,100ml,46 cal
Bitter Lemon,100ml,34 cal
Canada Dry Ginger Ale,100ml,41 cal
Cherry Coke,100ml,44 cal
Coke,100ml,42 cal
Coke Zero,100ml,0 cal
Diet Cherry Coke,100ml,1 cal
Diet Coke,100ml,1 cal
Diet Dr. Pepper,100ml,0 cal
Diet Pepsi,100ml,0 cal
Diet Sunkist,100ml,0 cal
Dr. Brown’s,100ml,53 cal
Dr. Pepper,100ml,27 cal
Fanta,100ml,39 cal
Fanta Zero,100ml,0 cal
Five Alive,100ml,35 cal
Fresca,100ml,0 cal
Full Throttle,100ml,110 cal
Fuze,100ml,20 cal
Fuze Tea,100ml,25 cal
Gatorade,100ml,25 cal
Ginger Ale,100ml,35 cal
Ice Tea,100ml,27 cal
Jolt Cola,100ml,44 cal
Kool-Aid,100ml,26 cal
Lemonade,100ml,42 cal
Mello Yello,100ml,49 cal
Minute Maid,100ml,46 cal
Minute Maid Light,100ml,2 cal
Mug Root Beer,100ml,42 cal
Orange Soda,100ml,48 cal
Pepsi,100ml,44 cal
Pibb Xtra,100ml,40 cal
Powerade,100ml,120 cal
Schweppes Ginger Ale,100ml,38 cal
Soda,100ml,53 cal
Sprite,100ml,37 cal
Sprite Zero,100ml,0 cal
Squirt,100ml,44 cal
Sunkist,100ml,25 cal
Surge,100ml,48 cal
TaB,100ml,0 cal
Tonic Water,100ml,35 cal
Vanilla Coke,100ml,45 cal
