Food,Serving,Serving
Cabernet Sauvignon,100ml,77 cal
Cava,100ml,76 cal
Champagne,100ml,76 cal
Chardonnay,100ml,85 cal
Chenin Blanc,100ml,80 cal
Chocolate Wine,100ml,256 cal
Dry Red Wine,100ml,85 cal
Gamay,100ml,78 cal
Malbec,100ml,82 cal
Malbec Wine,100ml,82 cal
Marsala Wine,100ml,100 cal
Merlot,100ml,83 cal
Merlot Wine,100ml,83 cal
Moscato Wine,100ml,76 cal
Mulled Wine,100ml,196 cal
Pinot Gris,100ml,83 cal
Pinot Noir,100ml,75 cal
Plum Wine,100ml,163 cal
Port Wine,100ml,160 cal
Prosecco,100ml,71 cal
Red Wine,100ml,85 cal
Red Wines,100ml,85 cal
Riesling,100ml,80 cal
Riesling Wine,100ml,80 cal
Rose Wine,100ml,71 cal
Sangria,100ml,132 cal
Sauvignon Blanc,100ml,81 cal
Sherry,100ml,116 cal
Shiraz,100ml,71 cal
Sparkling Wine,100ml,190 cal
Sweet Red Wine,100ml,81 cal
Sweet White Wine,100ml,82 cal
Sweet Wines,100ml,83 cal
Vermouth,100ml,108 cal
White Wine,100ml,82 cal
White Zinfandel,100ml,88 cal
Wine,100ml,83 cal
Yellow Tail Wine,100ml,71 cal
Zinfandel,100ml,88 cal
