Food,Serving,Serving
Acerola,100g,32 cal
Asian Pear,100g,42 cal
Avocado,100g,160 cal
Banana,100g,89 cal
Breadfruit,100g,103 cal
Cantaloupe Melon,100g,34 cal
Casaba Melon,100g,28 cal
Cherimoya,100g,75 cal
Dragon Fruit,100g,60 cal
Durian,100g,147 cal
Feijoa,100g,55 cal
Galia Melon,100g,23 cal
Grapefruit,100g,42 cal
Guava,100g,68 cal
Honeydew,100g,36 cal
Jackfruit,100g,95 cal
Kiwi,100g,61 cal
Kumquat,100g,71 cal
Lychee,100g,66 cal
Mandarin Oranges,100g,53 cal
Mango,100g,60 cal
Mangosteen,100g,73 cal
Maracuya,100g,97 cal
Maraschino Cherries,100g,165 cal
Muskmelon,100g,34 cal
Noni,100g,53 cal
Passion Fruit,100g,97 cal
Pineapple,100g,50 cal
Pink Grapefruit,100g,42 cal
Plantain,100g,122 cal
Pomegranate,100g,83 cal
Pomelo,100g,38 cal
Prickly Pear,100g,41 cal
Rambutan,100g,82 cal
Sapodilla,100g,83 cal
Soursop Fruit,100g,66 cal
Star Fruit,100g,31 cal
Tamarind,100g,239 cal
Watermelon,100g,30 cal
