Food,Serving,Serving
Bran Flakes,100g,356 cal
Cap’n Crunch,100g,404 cal
Cheerios,100g,347 cal
Chex,100g,387 cal
Chocolate Cheerios,100g,367 cal
Chocos,100g,380 cal
Cinnamon Toast Crunch,100g,433 cal
Coco Pops,100g,376 cal
Cocoa Krispies,100g,386 cal
Cocoa Pebbles,100g,367 cal
Cocoa Puffs,100g,400 cal
Cookie Crisp,100g,400 cal
Corn Flakes,100g,357 cal
Corn Pops,100g,377 cal
Count Chocula,100g,407 cal
Cracklin Oat Bran,100g,402 cal
Cream of Wheat,100g,364 cal
Crunchy Nut,100g,600 cal
Crunchy Nut Cornflakes,100g,600 cal
Fiber One,100g,267 cal
Froot Loops,100g,379 cal
Frosted Cheerios,100g,393 cal
Frosted Flakes,100g,367 cal
Frosted Mini-Wheats,100g,353 cal
Frosties,100g,367 cal
Fruity Pebbles,100g,400 cal
Golden Grahams,100g,400 cal
Grape-Nuts,100g,362 cal
Honey Nut Cheerios,100g,393 cal
Honey Smacks,100g,370 cal
Honeycomb,100g,397 cal
Just Right,100g,391 cal
Kashi,100g,377 cal
Kelloggs Corn Flakes,100g,357 cal
Kix,100g,367 cal
Krave,100g,372 cal
Life Cereal,100g,375 cal
Lucky Charms,100g,406 cal
Malt-O-Meal,100g,51 cal
Mini-Wheats,100g,353 cal
Muesli,100g,336 cal
Multigrain Cheerios,100g,380 cal
Nutri-Grain,100g,351 cal
Oatibix,100g,421 cal
Oatmeal,100g,375 cal
Peanut Butter Toast Crunch,100g,431 cal
Post Raisin Bran,100g,322 cal
Post Shredded Wheat,100g,347 cal
Puff,100g,367 cal
Puffed Rice,100g,383 cal
Puffed Wheat,100g,367 cal
Quaker Grits,100g,344 cal
Quaker Oatmeal,100g,375 cal
Quaker Oatmeal Squares,100g,400 cal
Raisin Bran,100g,322 cal
Raisin Bran Crunch,100g,355 cal
Raisin Bran Crunch,100g,355 cal
Raisin Nut Bran,100g,367 cal
Ready Brek,100g,359 cal
Rice Chex,100g,387 cal
Rice Krispies,100g,394 cal
Scooters,100g,367 cal
Shredded Wheat,100g,340 cal
Shreddies,100g,351 cal
Smart Start,100g,371 cal
Special K,100g,377 cal
Special K Chocolatey Delight,100g,388 cal
Special K Protein Plus,100g,375 cal
Special K Red Berries,100g,345 cal
Sugar Puffs,100g,379 cal
Toasties,100g,361 cal
Trix,100g,400 cal
Weet-Bix,100g,353 cal
Weetabix,100g,358 cal
Weetos,100g,378 cal
Wheaties,100g,367 cal
