Food,Serving,Serving
Cannelloni,100g,146 cal
Capellini,100g,353 cal
Cappelletti,100g,164 cal
Cellophane Noodles,100g,351 cal
Cheese Tortellini,100g,291 cal
Dampfnudel,100g,274 cal
Dumpling Dough,100g,99 cal
Durum Wheat Semolina,100g,397 cal
Egg Noodles,100g,384 cal
Farfalle,100g,358 cal
Fettuccine,100g,353 cal
Fusilli,100g,352 cal
Glass Noodles,100g,192 cal
Lasagne Sheets,100g,271 cal
Linguine,100g,357 cal
Low Carb Pasta,100g,282 cal
Macaroni,100g,370 cal
Manicotti,100g,357 cal
Mostaccioli,100g,184 cal
Orecchiette,100g,370 cal
Orzo,100g,357 cal
Penne,100g,351 cal
Penne Rigate,100g,370 cal
Pierogi,100g,200 cal
Ravioli,100g,77 cal
Rigatoni,100g,353 cal
Rotini,100g,353 cal
Shells,100g,353 cal
Shirataki Noodles,100g,18 cal
Soy Noodles,100g,216 cal
Spaetzle,100g,368 cal
Spaghetti,100g,370 cal
Spinach Tortellini,100g,314 cal
Spirelli,100g,367 cal
Tagliatelle,100g,370 cal
Tortellini,100g,291 cal
Vermicelli,100g,368 cal
Whole Grain Noodles,100g,347 cal
Whole Grain Spaghetti,100g,351 cal
Ziti,100g,352 cal
