Food,Serving,Serving
Baby Back Ribs,100g,259 cal
Bacon and Eggs,100g,252 cal
Baked Beans,100g,94 cal
Baked Chicken,100g,164 cal
BBQ Ribs,100g,255 cal
Beef Stew,100g,95 cal
Biryani,100g,176 cal
Black Pudding,100g,253 cal
Black Rice,100g,323 cal
BLT,100g,247 cal
Brown Rice,100g,362 cal
Burrito,100g,163 cal
Butter Chicken,100g,140 cal
California Roll,100g,93 cal
Chicken Caesar Salad,100g,127 cal
Chicken Fried Steak,100g,151 cal
Chicken Marsala,100g,96 cal
Chicken Parmesan,100g,110 cal
Chicken Pot Pie,100g,223 cal
Chicken Tikka Masala,100g,81 cal
Chili con Carne,100g,105 cal
Chimichanga,100g,232 cal
Cobb Salad,100g,118 cal
Collard Greens,100g,28 cal
Corn Dog,100g,250 cal
Corned Beef Hash,100g,164 cal
Cottage Pie,100g,139 cal
Dal,100g,330 cal
Deviled Eggs,100g,201 cal
Dim Sum,100g,193 cal
Dosa,100g,66 cal
Enchiladas,100g,168 cal
Fajita,100g,117 cal
Fish and Chips,100g,195 cal
Fried Rice,100g,186 cal
Fried Shrimp,100g,277 cal
Grilled Cheese Sandwich,100g,288 cal
Ham and Cheese Sandwich,100g,241 cal
Hummus,100g,177 cal
Jambalaya,100g,100 cal
Kebab,100g,215 cal
Lasagne,100g,132 cal
Mac and Cheese,100g,370 cal
Macaroni and Cheese,100g,370 cal
Mashed Potatoes,100g,83 cal
Meat Pie,100g,242 cal
Meatloaf,100g,254 cal
Naan,100g,310 cal
Orange Chicken,100g,259 cal
Pad Thai,100g,150 cal
Paella,100g,156 cal
Paratha,100g,325 cal
Pea Soup,100g,75 cal
Peanut Butter Sandwich,100g,408 cal
Peking Duck,100g,225 cal
Philly Cheese Steak,100g,250 cal
Pizza,100g,267 cal
Pork Chop,100g,225 cal
Potato Salad,100g,143 cal
Pulled Pork Sandwich,100g,211 cal
Ramen,100g,447 cal
Ravioli,100g,203 cal
Reuben Sandwich,100g,208 cal
Roast Beef,100g,111 cal
Roast Dinner,100g,198 cal
Samosa,100g,214 cal
Sausage Roll,100g,350 cal
Sausage Rolls,100g,297 cal
Shepherds Pie,100g,70 cal
Shrimp Cocktail,100g,464 cal
Sloppy Joe,100g,71 cal
Sloppy Joes,100g,154 cal
Spaghetti Bolognese,100g,132 cal
Spring Roll,100g,250 cal
Spring Rolls,100g,250 cal
Taco,100g,217 cal
Tandoori Chicken,100g,113 cal
Yorkshire Pudding,100g,553 cal
