Food,Serving,Serving
Alphabet Soup,100g,25 cal
Bean Stew,100g,133 cal
Beef Bouillon,100g,3 cal
Beef Noodle Soup,100g,34 cal
Beef Soup,100g,33 cal
Bouillon,100g,16 cal
Broccoli Cheese Soup,100g,87 cal
Broccoli Soup,100g,87 cal
Cabbage Soup,100g,28 cal
Carrot Ginger Soup,100g,25 cal
Carrot Soup,100g,25 cal
Chicken Bouillon,100g,4 cal
Chicken Broth,100g,16 cal
Chicken Gumbo Soup,100g,23 cal
Chicken Noodle Soup,100g,25 cal
Chicken Stock,100g,16 cal
Chicken Vegetable Soup,100g,31 cal
Chicken with Rice Soup,100g,24 cal
Cream of Asparagus Soup,100g,35 cal
Cream of Broccoli Soup,100g,45 cal
Cream of Celery Soup,100g,37 cal
Cream of Chicken Soup,100g,48 cal
Cream of Mushroom Soup,100g,39 cal
Cream of Onion Soup,100g,44 cal
Cream of Potato Soup,100g,30 cal
Creamy Chicken Noodle Soup,100g,23 cal
French Onion Soup,100g,23 cal
Golden Mushroom Soup,100g,65 cal
Goulash,100g,1009 cal
Instant Ramen,100g,436 cal
Lentil Soup,100g,56 cal
Lobster Bisque Soup,100g,100 cal
Meatball Soup,100g,49 cal
Minestrone,100g,34 cal
Mushroom Soup,100g,35 cal
Noodle Soup,100g,34 cal
Onion Soup,100g,23 cal
Oxtail Soup,100g,28 cal
Pea Soup,100g,75 cal
Potato Soup,100g,80 cal
Pumpkin Soup,100g,29 cal
Ramen,100g,436 cal
Scotch Broth,100g,33 cal
Succotash,100g,115 cal
Thai Soup,100g,60 cal
Tomato Rice Soup,100g,47 cal
Tomato Soup,100g,30 cal
Vegetable Beef Soup,100g,31 cal
Vegetable Broth,100g,5 cal
Vegetable Soup,100g,28 cal
Vegetable Stock,100g,5 cal
Wedding Soup,100g,53 cal
