Food,Serving,Serving
Azuki Bean,100g,124 cal
Bamboo Shoots,100g,27 cal
Bean Curd,100g,76 cal
Bean Sprouts,100g,30 cal
Bengal Gram,100g,364 cal
Black Beans,100g,341 cal
Black Chickpeas,100g,364 cal
Black Gram,100g,341 cal
Brown Lentil,100g,353 cal
Butternut,100g,612 cal
Chickpeas,100g,364 cal
Chili Bean,100g,97 cal
Dal,100g,230 cal
Deep-Fried Tofu,100g,271 cal
Extra-Firm Tofu,100g,91 cal
Firm Tofu,100g,70 cal
Flageolet,100g,85 cal
Fried Bean Curd,100g,271 cal
Green Beans,100g,31 cal
Green Gram,100g,347 cal
Green Lentil,100g,257 cal
Kidney Beans,100g,337 cal
Lentils,100g,353 cal
Lima Beans,100g,71 cal
Marron,100g,210 cal
Miso,100g,199 cal
Mung Beans,100g,12 cal
Natto,100g,212 cal
Navy Bean,100g,337 cal
Okara,100g,77 cal
Okra,100g,33 cal
Peanuts,100g,567 cal
Peas,100g,42 cal
Pecan,100g,691 cal
Pinto Beans,100g,347 cal
Puy Lentils,100g,345 cal
Rajma,100g,140 cal
Red Beans,100g,124 cal
Red Kidney Bean,100g,337 cal
Red Lentils,100g,329 cal
Refried Beans,100g,91 cal
Roasted Soybeans,100g,471 cal
Silken Tofu,100g,55 cal
Soft Tofu,100g,61 cal
Soy Cheese,100g,235 cal
Soy Mayonnaise,100g,322 cal
Soy Nut Butter,100g,562 cal
Soy Nuts,100g,471 cal
Soy Yogurt,100g,66 cal
Soya Cheese,100g,235 cal
Soybeans,100g,147 cal
Soynut Butter,100g,562 cal
Sugar Peas,100g,42 cal
Sweet Peas,100g,48 cal
Tempeh,100g,193 cal
Textured Soy Protein,100g,571 cal
Textured Vegetable Protein,100g,333 cal
Tofu,100g,76 cal
White Beans,100g,336 cal
Yam Bean,100g,38 cal
Yellow Lentils,100g,304 cal
Yuba,100g,176 cal
