Food,Serving,Serving
Acorn,100g,387 cal
Alfalfa Sprouts,100g,23 cal
Almonds,100g,575 cal
Beechnut,100g,576 cal
Brazil Nuts,100g,656 cal
Breadfruit,100g,191 cal
Butternut,100g,612 cal
Cashew,100g,553 cal
Chestnut,100g,213 cal
Chia Seeds,100g,486 cal
Coconut,100g,354 cal
Cotton Seeds,100g,506 cal
Flaxseed,100g,534 cal
Ginkgo Nuts,100g,182 cal
Goa Bean,100g,409 cal
Hazelnut,100g,628 cal
Hickory Nuts,100g,657 cal
Lima Beans,100g,71 cal
Lotus Seed,100g,89 cal
Macadamia Nuts,100g,718 cal
Peanuts,100g,567 cal
Peas,100g,81 cal
Pecan Nuts,100g,691 cal
Pecans,100g,691 cal
Pili Nuts,100g,719 cal
Pine Nuts,100g,673 cal
Pinto Beans,100g,347 cal
Pistachios,100g,562 cal
Poppy Seeds,100g,525 cal
Pumpkin Seeds,100g,559 cal
Radish Seeds,100g,43 cal
Safflower Seeds,100g,517 cal
Sesame Seeds,100g,573 cal
Smoked Almonds,100g,575 cal
Soy Beans,100g,147 cal
Sunflower Seeds,100g,584 cal
Sweet Chestnut,100g,194 cal
Walnuts,100g,654 cal
Watermelon,100g,30 cal
