Food,Serving,Serving
Almond Oil,100ml,882 cal
Avocado Oil,100ml,857 cal
Butter,100g,720 cal
Canola Oil,100ml,884 cal
Coconut Oil,100ml,857 cal
Cod Liver Oil,100ml,1000 cal
Corn Oil,100ml,800 cal
Cottonseed Oil,100ml,882 cal
Flaxseed Oil,100ml,884 cal
Ghee,100g,120 cal
Goose Fat,100g,898 cal
Grape Seed Oil,100ml,884 cal
Hemp Oil,100ml,807 cal
Herring Oil,100ml,902 cal
I can\’t believe it\’s not Butter,100g,357 cal
Lard,100g,902 cal
Macadamia Oil,100ml,819 cal
Margarine,100g,717 cal
Mustard Oil,100ml,884 cal
Olive Oil,100ml,884 cal
Palm Oil,100ml,882 cal
Peanut Oil,100ml,857 cal
Real Butter,100g,720 cal
Rice Bran Oil,100ml,889 cal
Safflower Oil,100ml,857 cal
Sardine Oil,100ml,902 cal
Sesame Oil,100ml,884 cal
Soybean Oil,100ml,889 cal
Sunflower Oil,100ml,884 cal
Walnut Oil,100ml,889 cal
