Food,Serving,Serving
Almond Oil,100ml,882 cal
Apricot Kernel Oil,100ml,889 cal
Argan Oil,100ml,896 cal
Avocado Oil,100ml,857 cal
Babassu Oil,100ml,884 cal
Canola Oil,100ml,884 cal
Coconut Oil,100ml,857 cal
Corn Oil,100ml,800 cal
Cottonseed Oil,100ml,882 cal
Flaxseed Oil,100ml,884 cal
Grape Seed Oil,100ml,884 cal
Hazelnut Oil,100ml,889 cal
Linseed Oil,100ml,837 cal
Menhaden Oil,100ml,911 cal
Mustard Oil,100ml,884 cal
Oat Oil,100ml,884 cal
Olive Oil,100ml,800 cal
Palm Kernel Oil,100ml,882 cal
Palm Oil,100ml,882 cal
Peanut Oil,100ml,857 cal
Poppy Seed Oil,100ml,884 cal
Pumpkin Seed Oil,100ml,880 cal
Rice Bran Oil,100ml,889 cal
Safflower Oil,100ml,857 cal
Salmon Oil,100ml,911 cal
Sesame Oil,100ml,889 cal
Shea Oil,100ml,884 cal
Soy Oil,100ml,882 cal
Sunflower Oil,100ml,884 cal
Tomato Seed Oil,100ml,884 cal
Vegetable Oil,100ml,800 cal
Walnut Oil,100ml,889 cal
Wheat Germ Oil,100ml,929 cal
