Food,Serving,Serving
All-blue Potatoes,100g,61 cal
Baked Potato,100g,93 cal
Boiled Potatoes,100g,87 cal
Cassava,100g,160 cal
Croquettes,100g,127 cal
Dumpling Dough,100g,124 cal
Dumplings,100g,124 cal
French Fingerling Potatoes,100g,82 cal
French Fries,100g,312 cal
Fried Potatoes,100g,312 cal
Gnocchi,100g,133 cal
Japanese Sweet Potatoes,100g,87 cal
Marrow Dumplings,100g,424 cal
Mashed Potatoes,100g,89 cal
Norland Red Potatoes,100g,89 cal
Omelette,100g,154 cal
Potato,100g,77 cal
Potato Dumpling,100g,124 cal
Potato Fritter,100g,185 cal
Potato Gratin,100g,132 cal
Potato Pancakes,100g,268 cal
Potato Salad,100g,143 cal
Potato Starch,100g,331 cal
Potato Sticks,100g,522 cal
Potato Waffles,100g,167 cal
Potato Wedges,100g,123 cal
Potatoes au Gratin,100g,132 cal
Purple Majesty Potatoes,100g,72 cal
Red Gold Potatoes,100g,89 cal
Red Potatoes,100g,89 cal
Roast Potatoes,100g,149 cal
Rosemary Potatoes,100g,93 cal
Rösti,100g,138 cal
Russet Potatoes,100g,97 cal
Russian Banana Potatoes,100g,67 cal
Sweet Potato,100g,92 cal
White Potatoes,100g,94 cal
Yams,100g,116 cal
Yukon Gold Potatoes,100g,82 cal
