Food,Serving,Serving
Almond Extract,100ml,374 cal
Anise,100g,337 cal
Anise Seed,100g,337 cal
Arrowroot,100g,65 cal
Arugula,100g,25 cal
Balsamic Vinegar,100ml,88 cal
Basil,100g,233 cal
Black Pepper,100g,251 cal
Black Sesame Seeds,100g,573 cal
Broth,100g,100 cal
Capers,100g,23 cal
Caraway Seeds,100g,333 cal
Cardamom,100g,311 cal
Cassava,100g,160 cal
Cayenne Pepper,100g,318 cal
Chard,100g,19 cal
Chicory Greens,100g,23 cal
Chicory Roots,100g,72 cal
Chili,100g,282 cal
Chili Powder,100g,282 cal
Chives,100g,30 cal
Cider Vinegar,100ml,21 cal
Cilantro,100g,23 cal
Cinnamon,100g,247 cal
Cloves,100g,274 cal
Coriander,100g,23 cal
Cream of Tartar,100g,258 cal
Cress,100g,32 cal
Crystallized Ginger,100g,335 cal
Cumin,100g,375 cal
Cumin Seed,100g,375 cal
Curry,100g,325 cal
Dandelion,100g,45 cal
Dill,100g,43 cal
Dill Weed,100g,43 cal
Fennel,100g,31 cal
Fennel Seed,100g,345 cal
Fenugreek,100g,323 cal
Garlic,100g,149 cal
Garlic Powder,100g,331 cal
Garlic Salt,100g,0 cal
Ginger,100g,80 cal
Grape Leaves,100g,93 cal
Ground Ginger,100g,335 cal
Horseradish,100g,48 cal
Hot Pepper,100g,318 cal
Iodized Salt,100g,0 cal
Jalapeno,100g,13 cal
Juniper,100g,45 cal
Lemon Grass,100g,99 cal
Licorice,100g,375 cal
Maggi,100ml,104 cal
Marjoram,100g,271 cal
Minced Onion,100g,40 cal
Mint,100g,70 cal
Mustard Seed,100g,508 cal
Nutmeg,100g,525 cal
Okra,100g,33 cal
Onion,100g,40 cal
Onion Powder,100g,341 cal
Orange Peel,100g,97 cal
Oregano,100g,265 cal
Paprika,100g,282 cal
Parsley,100g,36 cal
Parsnip,100g,75 cal
Pepper,100g,251 cal
Poppy Seed,100g,525 cal
Poultry Seasoning,100g,307 cal
Pumpkin Pie Spice,100g,342 cal
Red Pepper,100g,251 cal
Red Wine Vinegar,100g,19 cal
Rosemary,100g,131 cal
Saffron,100g,310 cal
Sage,100g,315 cal
Salt,100g,0 cal
Savory,100g,272 cal
Sea Salt,100g,0 cal
Serrano Pepper,100g,32 cal
Sesame Seeds,100g,573 cal
Stevia,100g,0 cal
Tamarind,100g,239 cal
Taro,100g,112 cal
Tarragon,100g,295 cal
Thyme,100g,276 cal
Turmeric,100g,354 cal
Vanilla Bean,100g,250 cal
Vanilla Extract,100ml,288 cal
Vinegar,100ml,18 cal
White Pepper,100g,296 cal
Yam,100g,118 cal
