Food,Serving,Serving
Apple Pie,100g,237 cal
Apple Turnover,100g,348 cal
Bagel,100g,257 cal
Baguette,100g,274 cal
Banana Bread,100g,326 cal
Banana Nut Bread,100g,326 cal
Beer Bread,100g,227 cal
Biscuit,100g,269 cal
Black Bread,100g,250 cal
Bran Muffins,100g,270 cal
Bread Pudding,100g,153 cal
Breadsticks,100g,400 cal
Brioche,100g,346 cal
Brown Bread,100g,246 cal
Brownies,100g,405 cal
Bun,100g,316 cal
Cannoli,100g,254 cal
Caramel Cake,100g,385 cal
Challah,100g,283 cal
Chapati,100g,240 cal
Ciabatta,100g,271 cal
Cinnamon Bun,100g,436 cal
Coffee Cake,100g,418 cal
Conchas/Mexican Sweet Bread,100g,353 cal
Cornbread,100g,179 cal
Crepes,100g,224 cal
Croissant,100g,406 cal
Crumpet,100g,178 cal
Cupcakes,100g,305 cal
Donut/Doughnut,100g,421 cal
Dosa,100g,209 cal
Empanada,100g,335 cal
English Muffin,100g,227 cal
Flatbread,100g,311 cal
Focaccia,100g,249 cal
Garlic Bread,100g,350 cal
Hot Dog Buns,100g,279 cal
Italian Bread,100g,271 cal
Latkes,100g,189 cal
Matzo Bread,100g,351 cal
Monkey Bread,100g,290 cal
Muffin,100g,296 cal
Multi-Grain Bread,100g,265 cal
Naan,100g,275 cal
Oatmeal Cookies,100g,450 cal
Oatmeal Raisin Cookies,100g,435 cal
Pan de Sal,100g,293 cal
Pancake,100g,233 cal
Pandesal,100g,293 cal
Panettone,100g,318 cal
Pide,100g,268 cal
Pie,100g,237 cal
Pita Bread,100g,275 cal
Potato Bread,100g,266 cal
Pretzel,100g,338 cal
Pretzel Roll,100g,338 cal
Puff Pastry,100g,558 cal
Pumpernickel,100g,250 cal
Raisin Bread,100g,274 cal
Roll,100g,316 cal
Roti,100g,264 cal
Rye Bread,100g,259 cal
Sandwich,100g,304 cal
Sandwich Bread,100g,251 cal
Scone,100g,362 cal
Shortcrust Pastry,100g,544 cal
Soda Bread,100g,290 cal
Soufflé,100g,204 cal
Sourdough Bread,100g,289 cal
Spanakopita,100g,246 cal
Spice Cake,100g,332 cal
Sweet Rolls,100g,333 cal
Swiss Roll,100g,313 cal
Toast,100g,261 cal
Tortilla,100g,297 cal
Tortilla Bread,100g,265 cal
White Bread,100g,238 cal
Whole Wheat Bread,100g,247 cal
