Food,Serving,Serving
1000 Island Dressing,100ml,370 cal
Ajvar,100ml,18 cal
Arrabiata Sauce,100g,36 cal
Balsamic Vinaigrette Dressing,100ml,290 cal
Barbecue Sauce,100g,150 cal
Bechamel Sauce,100g,225 cal
Bernaise Sauce,100g,414 cal
Blue Cheese Dressing,100ml,533 cal
Bolognese,100g,106 cal
Buttermilk Ranch Dressing,100ml,533 cal
Caesar Dressing,100ml,429 cal
Catalina Dressing,100ml,282 cal
Chasseur Sauce,100g,45 cal
Chili Sauce,100g,112 cal
Cream Sauce,100g,180 cal
Curry Ketchup,100g,124 cal
Curry Sauce,100g,26 cal
French Dressing,100ml,60 cal
Gravy,100g,53 cal
Greek Dressing,100ml,467 cal
Hamburger Sauce,100g,383 cal
Harissa,100g,52 cal
Hollandaise Sauce,100g,535 cal
Honey Mustard Dressing,100ml,464 cal
Horseradish,100g,48 cal
Italian Dressing,100ml,293 cal
Ketchup,100g,100 cal
Mayonnaise,100g,692 cal
Mustard,100g,60 cal
Mustard Sauce,100g,645 cal
Orange Sauce,100g,179 cal
Pesto,100g,458 cal
Ranch Dressing,100ml,510 cal
Remoulade Sauce,100g,635 cal
Russian Dressing,100ml,400 cal
Salad Dressing,100ml,449 cal
Sambal Oelek,100g,21 cal
Sesame Ginger Dressing,100ml,464 cal
Sesame Paste,100g,595 cal
Sour Cream,100g,217 cal
Sour Cream Sauce,100g,60 cal
Soy Sauce,100ml,67 cal
Sweet and Sour Sauce,100g,179 cal
Tabasco,100g,70 cal
Teriyaki Sauce,100g,89 cal
Thai Curry Paste,100g,155 cal
Tomato Paste,100g,82 cal
Tomato Puree,100g,38 cal
Tomato Sauce,100g,24 cal
Tzatziki,100g,94 cal
Vinaigrette,100ml,120 cal
Worcestershire Sauce,100ml,78 cal
Yogurt Dressing,100ml,45 cal
Zesty Italian Dressing,100ml,267 cal
