Food,Serving,Serving
Artichoke,100g,47 cal
Arugula,100g,25 cal
Asparagus,100g,20 cal
Aubergine,100g,25 cal
Beetroot,100g,43 cal
Bell Pepper,100g,20 cal
Black Olives,100g,115 cal
Broccoli,100g,34 cal
Brussels Sprouts,100g,43 cal
Cabbage,100g,25 cal
Capsicum,100g,27 cal
Carrot,100g,41 cal
Cauliflower,100g,25 cal
Celery,100g,16 cal
Chard,100g,19 cal
Cherry Tomato,100g,100 cal
Chicory,100g,72 cal
Chinese Cabbage,100g,16 cal
Chives,100g,30 cal
Collard Greens,100g,32 cal
Corn,100g,365 cal
Courgette,100g,17 cal
Creamed Spinach,100g,74 cal
Cucumber,100g,16 cal
Eggplant,100g,25 cal
Endive,100g,17 cal
Fennel,100g,31 cal
Garlic,100g,149 cal
Gherkin,100g,14 cal
Gourd,100g,14 cal
Green Beans,100g,31 cal
Green Olives,100g,115 cal
Green Onion,100g,32 cal
Horseradish,100g,48 cal
Kale,100g,49 cal
Kohlrabi,100g,27 cal
Kumara,100g,86 cal
Leek,100g,61 cal
Lettuce,100g,15 cal
Mushrooms,100g,22 cal
Mustard Greens,100g,27 cal
Nori,100g,35 cal
Okra,100g,33 cal
Olives,100g,115 cal
Onion,100g,40 cal
Parsnips,100g,75 cal
Peas,100g,81 cal
Pepper,100g,27 cal
Potato,100g,77 cal
Pumpkin,100g,26 cal
Radishes,100g,16 cal
Red Cabbage,100g,31 cal
Rutabaga,100g,38 cal
Shallots,100g,72 cal
Spinach,100g,23 cal
Squash,100g,45 cal
Sweet Potato,100g,86 cal
Tomato,100g,18 cal
Turnip Greens,100g,20 cal
Turnips,100g,28 cal
Wasabi,100g,109 cal
Winter Squash,100g,34 cal
Zucchini,100g,17 cal
