Food,Serving,Serving
Arby’s Grand Turkey Club,100g,210 cal
Arby’s Reuben,100g,208 cal
Arby’s Roast Beef Classic,100g,234 cal
Arby’s Roast Beef Max,100g,234 cal
BBQ Rib,100g,212 cal
Bean Burrito,100g,200 cal
Big N’ Tasty,100g,223 cal
Bratwurst,100g,333 cal
Burger King Angry Whopper,100g,255 cal
Burger King Double Whopper,100g,239 cal
Burger King Double Whopper with Cheese,100g,249 cal
Burger King Original Chicken Sandwich,100g,301 cal
Burger King Premium Alaskan Fish Sandwich,100g,259 cal
Burger King Triple Whopper,100g,269 cal
Burger King Whopper,100g,231 cal
Burger King Whopper Jr.,100g,234 cal
Burger King Whopper with Cheese,100g,241 cal
Cheeseburger,100g,263 cal
Chicken Breast,100g,163 cal
Chicken Fajita,100g,147 cal
Chicken McNuggets,100g,302 cal
Chicken Nuggets,100g,296 cal
Chicken Pizziola,100g,141 cal
Chicken Sandwich,100g,241 cal
Chicken Teriyaki Sandwich,100g,138 cal
Chicken Wings,100g,324 cal
Chop Suey,100g,172 cal
Curly Fries,100g,311 cal
Double Cheeseburger,100g,267 cal
Egg Roll,100g,250 cal
Falafel,100g,335 cal
Filet-o-Fish,100g,282 cal
Fish and Chips,100g,195 cal
Fish Sandwich,100g,273 cal
French Fries,100g,312 cal
Grilled Chicken Salad,100g,88 cal
Ham Sandwich,100g,241 cal
Hamburger,100g,254 cal
Hot Dog,100g,269 cal
Italian BMT,100g,183 cal
Lasagna,100g,132 cal
McDonald’s Big Mac,100g,256 cal
McDonald’s Cheeseburger,100g,263 cal
McDonald’s Chicken Nuggets,100g,297 cal
McDonald’s Double Cheeseburger,100g,282 cal
McDonald’s Filet-o-Fish,100g,275 cal
McDonald’s McChicken,100g,251 cal
McDonald’s McDouble,100g,252 cal
McDonald’s McMuffi Egg,100g,225 cal
McDonald’s McRib,100g,265 cal
McDonald’s Mighty Wings,100g,308 cal
McRib,100g,265 cal
Meatball Sandwich,100g,161 cal
Nachos with Cheese,100g,306 cal
Onion Rings,100g,411 cal
Smoked Salmon,100g,158 cal
Spicy Italian,100g,219 cal
Subway Club Sandwich,100g,131 cal
Tortilla Wrap,100g,271 cal
Tuna,100g,86 cal
Turkey,100g,104 cal
Veggie Burger,100g,181 cal
Veggie Delight,100g,138 cal
Veggie Patty,100g,390 cal
Wendy’s Baconator,100g,304 cal
Wendy’s Jr. Bacon Cheeseburger,100g,261 cal
Wendy’s Jr. Cheeseburger,100g,225 cal
Wendy’s Son of Baconator,100g,321 cal
Whopper,100g,231 cal
Zinger,100g,256 cal
Zinger Burger,100g,256 cal
Poutine,100g,227 cal
