Food,Serving,Serving
BBQ Chicken Pizza,100g,234 cal
BBQ Pizza,100g,224 cal
Beef Pizza,100g,304 cal
Bianca Pizza,100g,246 cal
Buffalo Chicken Pizza,100g,252 cal
Calabrese Pizza,100g,235 cal
Calzone,100g,231 cal
Capricciosa Pizza,100g,260 cal
Cheese Pizza,100g,267 cal
Chicken Pizza,100g,234 cal
Deep Dish Pizza,100g,265 cal
Dominos Philly Cheese Steak Pizza,100g,224 cal
Four Cheese Pizza,100g,221 cal
Goat Cheese Pizza,100g,219 cal
Grilled Pizza,100g,226 cal
Hawaiian Pizza,100g,115 cal
Margherita Pizza,100g,275 cal
Mozzarella Pizza,100g,249 cal
Mushroom Pizza,100g,212 cal
Napoli Pizza,100g,202 cal
New York Style Pizza,100g,169 cal
Pepperoni Pizza,100g,255 cal
Pizza Dough,100g,228 cal
Pizza Hut Stuffed Crust Pizza,100g,255 cal
Pizza Hut Supreme Pizza,100g,248 cal
Pizza Rolls,100g,247 cal
Quattro Formaggi Pizza,100g,248 cal
Red Pepper Pizza,100g,192 cal
Salami Pizza,100g,255 cal
Sausage Pizza,100g,246 cal
Seafood Pizza,100g,245 cal
Shrimp Pizza,100g,209 cal
Sicilian Pizza,100g,241 cal
Spinach Feta Pizza,100g,242 cal
Spinach Pizza,100g,234 cal
Stuffed Crust Pizza,100g,255 cal
Tarte Flambée,100g,253 cal
Thin Crust Pizza,100g,261 cal
Tuna Pizza,100g,254 cal
Vegetable Pizza,100g,256 cal
Vegetarian Pizza,100g,256 cal
Veggie Pizza,100g,231 cal
White Pizza,100g,246 cal
