Food,Serving,Serving
American Cheese,100g,148 cal
Applewood,100g,410 cal
Asiago Cheese,100g,392 cal
Babybel,100g,333 cal
Blue Cheese,100g,353 cal
Brie,100g,334 cal
Camembert,100g,300 cal
Cheddar,100g,403 cal
Cheese Fondue,100g,228 cal
Cheese Spread,100g,290 cal
Cheese Whiz,100g,276 cal
Chester,100g,387 cal
Colby Cheese,100g,394 cal
Colby-Jack Cheese,100g,394 cal
Cottage Cheese,100g,98 cal
Dutch Cheese,100g,393 cal
Edam Cheese,100g,357 cal
Emmentaler,100g,357 cal
Feta,100g,264 cal
Fontina,100g,389 cal
Fresh Mozzarella,100g,280 cal
Gjetost,100g,466 cal
Goat Cheese,100g,364 cal
Gorgonzola,100g,350 cal
Gouda,100g,356 cal
Grated Parmesan,100g,431 cal
Grilled Cheese,100g,350 cal
Gruyere,100g,413 cal
Halloumi,100g,321 cal
Havarti,100g,371 cal
Italian Cheese,100g,397 cal
Jarlsberg,100g,352 cal
Maasdam Cheese,100g,344 cal
Manchego Cheese,100g,320 cal
Monterey,100g,373 cal
Monterey Jack Cheese,100g,373 cal
Mozzarella,100g,280 cal
Muenster Cheese,100g,368 cal
Neufchatel,100g,253 cal
Parmesan,100g,431 cal
Pecorino,100g,387 cal
Provolone,100g,351 cal
Raclette Cheese,100g,357 cal
Ricotta,100g,174 cal
Romano,100g,387 cal
Roquefort,100g,369 cal
Sheep Cheese,100g,364 cal
Soft Cheese,100g,268 cal
Stilton Cheese,100g,393 cal
String Cheese,100g,250 cal
Swiss Cheese,100g,380 cal
White Cheddar,100g,403 cal
Wisconsin Cheese,100g,389 cal
