Food,Serving,Serving
Chive Cream Cheese,100g,342 cal
Cottage Cheese,100g,98 cal
Cream Cheese,100g,342 cal
Cream Cheese with Herbs,100g,342 cal
Feta Cream Cheese,100g,342 cal
Garlic Cream Cheese,100g,342 cal
Goat Cheese,100g,364 cal
Horseradish,100g,48 cal
Mascarpone,100g,450 cal
Obatzda,100g,303 cal
Olive Cream Cheese,100g,342 cal
Pesto Cream Cheese,100g,342 cal
Philadelphia Cream Cheese,100g,342 cal
Pineapple Cream Cheese,100g,342 cal
Salmon Cream Cheese,100g,342 cal
Vegetable Cream Cheese,100g,342 cal
Walnut Cream Cheese,100g,342 cal
