Food,Serving,Serving
Almond Milk,100ml,17 cal
Buttermilk,100ml,62 cal
Chocolate Mousse,100g,225 cal
Coconut Milk,100ml,230 cal
Coffee Creamer,100g,195 cal
Condensed Milk,100g,321 cal
Cottage Cheese,100g,98 cal
Cream,100g,242 cal
Creme Fraiche,100g,393 cal
Curd,100g,98 cal
Custard,100g,122 cal
Evaporated Milk,100g,135 cal
Goat Milk,100g,69 cal
Hot Chocolate,100ml,89 cal
Kefir,100ml,55 cal
Lactose-free Milk,100ml,52 cal
Lassi,100ml,75 cal
Milk,100ml,61 cal
Plain Yogurt,100g,61 cal
Powdered Milk,100g,496 cal
Quark,100g,145 cal
Rice Milk,100ml,49 cal
Rice Pudding,100g,118 cal
Semi-skimmed Milk,100ml,50 cal
Semolina Pudding,100g,67 cal
Skim Milk,100ml,35 cal
Sour Cream,100g,181 cal
Soy Milk,100ml,45 cal
Sweetened Condensed Milk,100ml,321 cal
Tzatziki,100g,117 cal
Whipped Cream,100g,257 cal
Whole Milk,100ml,61 cal
Yogurt,100g,61 cal
